title,contentId,uri,id,description,duration,entityType,contentType,contentProvider,cpDisplayName,cpLogoUrl,assetType,genre/0,lang/0,premium,live,hboContent,vip,encrypted,startDate,endDate,year,playbackUri,images/v,images/h,imageSets/DEFAULT/v,imageSets/DEFAULT/h,contentDownloadable,playbackType,monetisable,langObjs/0/hide,langObjs/0/id,langObjs/0/name,langObjs/0/iso3code,langObjs/0/detailUrl,langObjs/0/displayName,genreObjs/0/id,genreObjs/0/name,genreObjs/0/detailUrl,languageSelector,drmClass,downloadDrmClass,contentStartPointSeconds,badges/0,clipType,parentalRating,parentalRatingName,crisp,detail,isSocialEnabled,orientation,isSubTagged,studioId,studioName,labels/0,images/m,imageSets/DEFAULT/m,trailers/0,autoplayObjs/0/contentId,autoplayObjs/0/playbackType,autoplayObjs/0/orientation
Sata Lota Pan Sagla Khota,1000066951,https://api.hotstar.com/o/v1/movie/detail?id=1056&contentId=1000066951&offset=0&size=20&tao=0&tas=5,1056,"Sata Lota Pan Sagla Khota is a Marathi comedy drama, directed by Shrabani Deodhar and starring Adinath Kothare, Makarand Anaspure, Siddharth Chandekar and Mrunmayee Deshpande. When Jay’s uncle, Satyavan, a businessman in Dubai, stops his monthly allowance, Jay and his friends come up with a plan to make some cash. But where will it lead them to? Watch the full film, streaming on Hotstar.",7959,MOVIE,MOVIE,Moving Pictures,Moving Pictures,https://secure-media.hotstar.com/static/NewsV2/PartnerLogos/hotstar.png,MOVIE,Comedy,Marathi,false,false,false,false,false,1435861800,1783016940,2015,https://api.hotstar.com/h/v1/play?contentId=1000066951,sources/r1/cms/prod/old_images/vertical/MOVIE/6951/1000066951/1000066951-v,sources/r1/cms/prod/old_images/MOVIE/6951/1000066951/1000066951-h,sources/r1/cms/prod/old_images/vertical/MOVIE/6951/1000066951/1000066951-v,sources/r1/cms/prod/old_images/MOVIE/6951/1000066951/1000066951-h,false,INTERNAL,true,false,4,Marathi,mar,https://api.hotstar.com/o/v1/language/detail?id=4&offset=0&size=20,मराठी,8,Comedy,https://api.hotstar.com/o/v1/genre/detail?id=8&offset=0&size=20,1,BEST_EFFORT,BEST_EFFORT,0,NP,VOD,2,PG,Suitable for all,Suitable for all,false,HORIZONTAL,false,,,,,,,,,
Fakt Ladh Mhana,1770015676,https://api.hotstar.com/o/v1/movie/detail?id=4130&contentId=1770015676&offset=0&size=20&tao=0&tas=5,4130,"Fakt Ladh Mhana is a Marathi action drama starring Aniket Vishwasrao, Siddharth Jadhav, Bharat Jadhav, Mahesh Manjrekar, Sachin Khedekar and directed by Sanjay Jadhav. Farmers in a village commit suicide because of a corrupt minister. Enraged, five men take a stand and fight against the minister. Watch the full film, streaming on Hotstar.",8673,MOVIE,MOVIE,Everest Entertainment LLP,Everest Entertainment LLP,https://secure-media.hotstar.com/static/NewsV2/PartnerLogos/hotstar.png,MOVIE,Action,Marathi,true,false,false,true,false,1494376200,1643826540,2011,https://api.hotstar.com/h/v1/play?contentId=1770015676,sources/r1/cms/prod/old_images/vertical/MOVIE/5676/1770015676/1770015676-v,sources/r1/cms/prod/old_images/MOVIE/5676/1770015676/1770015676-h,sources/r1/cms/prod/old_images/vertical/MOVIE/5676/1770015676/1770015676-v,sources/r1/cms/prod/old_images/MOVIE/5676/1770015676/1770015676-h,true,INTERNAL,true,false,4,Marathi,mar,https://api.hotstar.com/o/v1/language/detail?id=4&offset=0&size=20,मराठी,15,Action,https://api.hotstar.com/o/v1/genre/detail?id=15&offset=0&size=20,1,BEST_EFFORT,BEST_EFFORT,0,NP,VOD,2,15+,"Violence, Language","Strong violence, Mild language",false,HORIZONTAL,false,21,Star Pravah,VIP,,,,,,
Yere Yere Paisa,1000014556,https://api.hotstar.com/o/v1/movie/detail?id=149&contentId=1000014556&offset=0&size=20&tao=0&tas=5,149,"Yere Yere Paisa is a Marathi comedy, starring Makarand Anaspure, Vilas Ujawne, Viju Khote and Vikas Samudre. Dampya (Makarand Anaspure) is a simple village guy. But when his friend Namya (Satish Tare) tells him about easy gambling and betting money in the city, Dampya is tempted. Watch the full film, streaming on Hotstar.",6615,MOVIE,MOVIE,"Farid Lallani,Bhanshali Films","Farid Lallani,Bhanshali Films",https://secure-media.hotstar.com/static/NewsV2/PartnerLogos/hotstar.png,MOVIE,Comedy,Marathi,false,false,false,false,false,1411074720,4102424940,2012,https://api.hotstar.com/h/v1/play?contentId=1000014556,sources/r1/cms/prod/old_images/vertical/MOVIE/4556/1000014556/1000014556-v,sources/r1/cms/prod/old_images/MOVIE/4556/1000014556/1000014556-h,sources/r1/cms/prod/old_images/vertical/MOVIE/4556/1000014556/1000014556-v,sources/r1/cms/prod/old_images/MOVIE/4556/1000014556/1000014556-h,false,INTERNAL,true,false,4,Marathi,mar,https://api.hotstar.com/o/v1/language/detail?id=4&offset=0&size=20,मराठी,8,Comedy,https://api.hotstar.com/o/v1/genre/detail?id=8&offset=0&size=20,1,BEST_EFFORT,BEST_EFFORT,0,NP,VOD,2,PG,Suitable for all,Suitable for all,false,HORIZONTAL,false,,,,,,,,,
Bandh Nylon Che,1000112954,https://api.hotstar.com/o/v1/movie/detail?id=2564&contentId=1000112954&offset=0&size=20&tao=0&tas=5,2564,"Bandh Nylon Che is a Marathi family drama, directed by Jatin Satish Wagle and starring Mahesh Manjrekar, Medha Manjrekar, Subodh Bhave, Sunil Barve, Sanjay Narvekar and Shruthi Marathe. Devdatta Bhave returns to India with his family from the US. He wants his parents to live with him. However, past memories haunt their relationship. Watch the full film, streaming on Hotstar.",7752,MOVIE,MOVIE,Matruka Motion Pictures,Matruka Motion Pictures,https://secure-media.hotstar.com/static/NewsV2/PartnerLogos/hotstar.png,MOVIE,Drama,Marathi,false,false,false,false,false,1477269000,1687544940,2016,https://api.hotstar.com/h/v1/play?contentId=1000112954,sources/r1/cms/prod/old_images/vertical/MOVIE/2954/1000112954/1000112954-v,sources/r1/cms/prod/old_images/MOVIE/2954/1000112954/1000112954-h,sources/r1/cms/prod/old_images/vertical/MOVIE/2954/1000112954/1000112954-v,sources/r1/cms/prod/old_images/MOVIE/2954/1000112954/1000112954-h,false,INTERNAL,true,false,4,Marathi,mar,https://api.hotstar.com/o/v1/language/detail?id=4&offset=0&size=20,मराठी,3,Drama,https://api.hotstar.com/o/v1/genre/detail?id=3&offset=0&size=20,1,BEST_EFFORT,BEST_EFFORT,0,NP,VOD,2,PG,Suitable for all,Suitable for all,false,HORIZONTAL,false,,,,,,,,,
Lalbaug Parel,1000014531,https://api.hotstar.com/o/v1/movie/detail?id=125&contentId=1000014531&offset=0&size=20&tao=0&tas=5,125,"Lalbaug Parel is a Marathi drama film, directed by Mahesh Manjrekar and starring Seema Biswas, Shashank Shende, Ankush Chowdhary and Anusha Dandekar.Lalbaug Parel is the disturbing story of thousands of retrenched Mumbai mill workers. When the Mumbai mills were closed down to make way for malls and high-rises, workers were forced to find alternative occupations or starve. This film dramatises the shady nexus between businessmen, politicians and trade union leaders. Watch the full Lalbaug Parel movie online, streaming on hotstar.",8423,MOVIE,MOVIE,Dar Motion Pictures,Dar Motion Pictures,https://secure-media.hotstar.com/static/NewsV2/PartnerLogos/hotstar.png,MOVIE,Drama,Marathi,true,false,false,true,false,1545839919,1704047340,2010,https://api.hotstar.com/h/v1/play?contentId=1000014531,sources/r1/cms/prod/7390/197390-v,sources/r1/cms/prod/7389/197389-h,sources/r1/cms/prod/7390/197390-v,sources/r1/cms/prod/7389/197389-h,true,INTERNAL,true,false,4,Marathi,mar,https://api.hotstar.com/o/v1/language/detail?id=4&offset=0&size=20,मराठी,3,Drama,https://api.hotstar.com/o/v1/genre/detail?id=3&offset=0&size=20,1,BEST_EFFORT,BEST_EFFORT,0,NP,VOD,2,15+,"Sex, Violence, Language","Moderate language, Moderate violence, Moderate sexual content and references",false,HORIZONTAL,false,21,Star Pravah,VIP,sources/r1/cms/prod/7391/197391-m,sources/r1/cms/prod/7391/197391-m,,,,
Maska,1000230562,https://api.hotstar.com/o/v1/movie/detail?id=523377&contentId=1000230562&offset=0&size=20&tao=0&tas=5,523377,Three con artists are on a mission to dupe a businessman. All is going well until one of the them ends up falling in love with their target.,7218,MOVIE,MOVIE,Novi,Hotstar,https://secure-media.hotstar.com/static/NewsV2/PartnerLogos/hotstar.png,MOVIE,Drama,Marathi,true,false,false,true,false,1552091400,1709922599,2018,https://api.hotstar.com/h/v1/play?contentId=1000230562,sources/r1/cms/prod/3669/313669-v,sources/r1/cms/prod/3668/313668-h,sources/r1/cms/prod/3669/313669-v,sources/r1/cms/prod/3668/313668-h,false,INTERNAL,true,false,4,Marathi,mar,https://api.hotstar.com/o/v1/language/detail?id=4&offset=0&size=20,मराठी,3,Drama,https://api.hotstar.com/o/v1/genre/detail?id=3&offset=0&size=20,1,BEST_EFFORT,BEST_EFFORT,0,NP,VOD,2,15+,"Sex, Violence, Language","Moderate language, Mild violence, Mild sexual references, Mild sexual content",false,HORIZONTAL,false,21,Star Pravah,VIP,sources/r1/cms/prod/3670/313670-m,sources/r1/cms/prod/3670/313670-m,,,,
Tujhya Vin Mar Jaava,1000231004,https://api.hotstar.com/o/v1/movie/detail?id=525927&contentId=1000231004&offset=0&size=20&tao=0&tas=5,525927,"Maharashtrian boy, Aniket and Punjabi kudi, Nisha have never met, but yet they feel a connect everytime they meet in college. When the two fall in love, an old family secret rocks their boat.",8301,MOVIE,MOVIE,Novi,Hotstar,https://secure-media.hotstar.com/static/NewsV2/PartnerLogos/hotstar.png,MOVIE,Romance,Marathi,true,false,false,true,false,1552869000,1708108199,2015,https://api.hotstar.com/h/v1/play?contentId=1000231004,sources/r1/cms/prod/9325/329325-v,sources/r1/cms/prod/9324/329324-h,sources/r1/cms/prod/9325/329325-v,sources/r1/cms/prod/9324/329324-h,false,INTERNAL,true,false,4,Marathi,mar,https://api.hotstar.com/o/v1/language/detail?id=4&offset=0&size=20,मराठी,4,Romance,https://api.hotstar.com/o/v1/genre/detail?id=4&offset=0&size=20,1,BEST_EFFORT,BEST_EFFORT,0,NP,VOD,2,12+,"Sex, Language","Mild sexual references, Mild language",false,HORIZONTAL,false,21,Star Pravah,VIP,sources/r1/cms/prod/9326/329326-m,sources/r1/cms/prod/9326/329326-m,,,,
Agadbam,1770002710,https://api.hotstar.com/o/v1/movie/detail?id=3838&contentId=1770002710&offset=0&size=20&tao=0&tas=5,3838,"Agadbam is a Marathi comedy drama, directed by Satish Motling and starring Makarand Anaspure, Trupti Bhoir and Usha Nadkarni. Najuka is a fat girl whose marriage is fixed with Raiba. But will Raiba accept her as his life partner? Watch the full film, streaming on Hotstar.",7309,MOVIE,MOVIE,Everest Entertainment LLP,Everest Entertainment LLP,https://secure-media.hotstar.com/static/NewsV2/PartnerLogos/hotstar.png,MOVIE,Comedy,Marathi,true,false,false,true,false,1495413000,1643826540,2010,https://api.hotstar.com/h/v1/play?contentId=1770002710,sources/r1/cms/prod/old_images/vertical/MOVIE/2710/1770002710/1770002710-v,sources/r1/cms/prod/old_images/MOVIE/2710/1770002710/1770002710-h,sources/r1/cms/prod/old_images/vertical/MOVIE/2710/1770002710/1770002710-v,sources/r1/cms/prod/old_images/MOVIE/2710/1770002710/1770002710-h,true,INTERNAL,true,false,4,Marathi,mar,https://api.hotstar.com/o/v1/language/detail?id=4&offset=0&size=20,मराठी,8,Comedy,https://api.hotstar.com/o/v1/genre/detail?id=8&offset=0&size=20,1,BEST_EFFORT,BEST_EFFORT,0,NP,VOD,2,PG,Sex,Mild sexual references,false,HORIZONTAL,false,21,Star Pravah,VIP,,,,,,
Sambha - Aajcha Chawa,1000087439,https://api.hotstar.com/o/v1/movie/detail?id=1535&contentId=1000087439&offset=0&size=20&tao=0&tas=5,1535,"Sambha - Aajcha Chawa is a Marathi drama, directed by Sanjay Todkar, starring Devendra Chougule, Mohan Joshi and Milind Gunaji. The story revolves around a young man on a mission to clean up the society of corruption and other evils. Watch the full film, streaming on Hotstar.",8518,MOVIE,MOVIE,Sanjay Todkar,Sanjay Todkar,https://secure-media.hotstar.com/static/NewsV2/PartnerLogos/hotstar.png,MOVIE,Action,Marathi,false,false,false,false,false,1466901000,4102424940,2012,https://api.hotstar.com/h/v1/play?contentId=1000087439,sources/r1/cms/prod/old_images/vertical/MOVIE/7439/1000087439/1000087439-v,sources/r1/cms/prod/old_images/MOVIE/7439/1000087439/1000087439-h,sources/r1/cms/prod/old_images/vertical/MOVIE/7439/1000087439/1000087439-v,sources/r1/cms/prod/old_images/MOVIE/7439/1000087439/1000087439-h,false,INTERNAL,true,false,4,Marathi,mar,https://api.hotstar.com/o/v1/language/detail?id=4&offset=0&size=20,मराठी,15,Action,https://api.hotstar.com/o/v1/genre/detail?id=15&offset=0&size=20,1,BEST_EFFORT,BEST_EFFORT,0,NP,VOD,2,15+,Violence,Moderate violence,false,HORIZONTAL,false,,,,,,,,,
Ranjan,1000230504,https://api.hotstar.com/o/v1/movie/detail?id=523100&contentId=1000230504&offset=0&size=20&tao=0&tas=5,523100,"School going kid, Pratap falls in love with his classmate Madhu. However, to win her heart, he must fullfil her bizarre condition.",7697,MOVIE,MOVIE,Novi,Hotstar,https://secure-media.hotstar.com/static/NewsV2/PartnerLogos/hotstar.png,MOVIE,Drama,Marathi,true,false,false,true,false,1551573000,1709404199,2017,https://api.hotstar.com/h/v1/play?contentId=1000230504,sources/r1/cms/prod/3889/303889-v,sources/r1/cms/prod/3888/303888-h,sources/r1/cms/prod/3889/303889-v,sources/r1/cms/prod/3888/303888-h,false,INTERNAL,true,false,4,Marathi,mar,https://api.hotstar.com/o/v1/language/detail?id=4&offset=0&size=20,मराठी,3,Drama,https://api.hotstar.com/o/v1/genre/detail?id=3&offset=0&size=20,1,BEST_EFFORT,BEST_EFFORT,0,NP,VOD,2,12+,"Violence, Language","Moderate violence, Mild language",false,HORIZONTAL,false,,,VIP,sources/r1/cms/prod/3890/303890-m,sources/r1/cms/prod/3890/303890-m,,,,
